case	round	attempt	stratum	baseline_wall_s	candidate_wall_s	wall_log_ratio	baseline_rss_kb	candidate_rss_kb	rss_difference_kb	baseline_raw	candidate_raw
indented_direct_1k	15	1	BC	9.53	9.04	-0.052785543262	8704	8832	128	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r15_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r15_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	16	1	CB	10.04	10.23	0.018747465700	8576	8576	0	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r16_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r16_a1_o06_indented_direct_1k_candidate.raw
indented_direct_1k	17	1	BC	10.46	11.35	0.081659285291	8448	8832	384	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r17_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r17_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	18	1	CB	9.19	10.25	0.109161769217	8576	8576	0	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r18_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r18_a1_o06_indented_direct_1k_candidate.raw
indented_direct_1k	19	1	BC	9.67	9.82	0.015392812901	8320	8576	256	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r19_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r19_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	20	1	CB	8.79	9.45	0.072400029809	8576	8576	0	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r20_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r20_a1_o06_indented_direct_1k_candidate.raw
indented_direct_1k	21	1	BC	9.25	9.13	-0.013057856917	8320	8576	256	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r21_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r21_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	22	1	CB	9.30	10.28	0.100185859868	8576	8832	256	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r22_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r22_a1_o06_indented_direct_1k_candidate.raw
indented_direct_1k	23	1	BC	10.03	9.27	-0.078797222396	8320	8832	512	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r23_a1_o03_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r23_a1_o03_indented_direct_1k_candidate.raw
indented_direct_1k	24	1	CB	8.67	9.36	0.076576499697	8576	8576	0	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r24_a1_o06_indented_direct_1k_baseline.raw	/tmp/yulang-gate2-final.TM8ChV/ordinary/measured/raw/measured_r24_a1_o06_indented_direct_1k_candidate.raw
