round	stratum	case	items	repeats	baseline_wall	baseline_rss_kb	candidate_wall	candidate_rss_kb	baseline_exit	candidate_exit	baseline_affinity	candidate_affinity	baseline_timestamp	candidate_timestamp
15	BC	indented_ast	1000	50	0:09.36	10532	0:09.91	10412	0	0	10	10	2026-08-30T16:40:47+09:00	2026-08-30T16:40:57+09:00
15	BC	indented_ast	10000	8	0:15.03	35572	0:14.13	35704	0	0	10	10	2026-08-30T16:41:12+09:00	2026-08-30T16:41:27+09:00
15	BC	braced_ast	1000	50	0:07.11	10528	0:09.08	10540	0	0	10	10	2026-08-30T16:41:46+09:00	2026-08-30T16:41:53+09:00
15	BC	braced_ast	10000	8	0:14.89	35680	0:14.20	35704	0	0	10	10	2026-08-30T16:42:07+09:00	2026-08-30T16:42:22+09:00
15	BC	indented_direct	1000	50	0:10.53	8576	0:11.28	8448	0	0	10	10	2026-08-30T16:42:41+09:00	2026-08-30T16:42:52+09:00
15	BC	indented_direct	10000	8	0:16.87	10168	0:17.98	10428	0	0	10	10	2026-08-30T16:43:08+09:00	2026-08-30T16:43:25+09:00
15	BC	braced_direct	1000	50	0:10.53	8320	0:10.97	8320	0	0	10	10	2026-08-30T16:43:48+09:00	2026-08-30T16:43:59+09:00
15	BC	braced_direct	10000	8	0:17.14	10276	0:17.15	10028	0	0	10	10	2026-08-30T16:44:15+09:00	2026-08-30T16:44:32+09:00
16	CB	braced_direct	10000	8	0:17.22	9920	0:17.52	10028	0	0	10	10	2026-08-30T16:45:12+09:00	2026-08-30T16:44:54+09:00
16	CB	braced_direct	1000	50	0:10.36	8192	0:10.07	8448	0	0	10	10	2026-08-30T16:45:44+09:00	2026-08-30T16:45:34+09:00
16	CB	indented_direct	10000	8	0:18.43	10296	0:18.02	10300	0	0	10	10	2026-08-30T16:46:18+09:00	2026-08-30T16:46:00+09:00
16	CB	indented_direct	1000	50	0:11.97	8448	0:12.67	8576	0	0	10	10	2026-08-30T16:46:54+09:00	2026-08-30T16:46:41+09:00
16	CB	braced_ast	10000	8	0:15.26	35820	0:16.29	35576	0	0	10	10	2026-08-30T16:47:27+09:00	2026-08-30T16:47:11+09:00
16	CB	braced_ast	1000	50	0:09.51	10528	0:09.90	10540	0	0	10	10	2026-08-30T16:47:58+09:00	2026-08-30T16:47:48+09:00
16	CB	indented_ast	10000	8	0:15.88	35700	0:16.73	35580	0	0	10	10	2026-08-30T16:48:29+09:00	2026-08-30T16:48:12+09:00
16	CB	indented_ast	1000	50	0:10.28	10532	0:09.81	10668	0	0	10	10	2026-08-30T16:49:00+09:00	2026-08-30T16:48:50+09:00
